date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:02:14	155/155	---M--	200	added ('OK')	text/css	etag:%229b-6752cf35-d745902e62fa6b4e;;;%22	https://themangalamweddings.in/wp-content/plugins/elementor/assets/lib/animations/styles/slideInRight.min.css?ver=3.25.10	C:/My%20Web%20Sites/swi/themangalamweddings.in/wp-content/plugins/elementor/assets/lib/animations/styles/slideInRight.min18be.css	(from https://themangalamweddings.in/)
12:02:15	77/77	---M--	200	added ('OK')	text/css	etag:%224d-6752cf35-e1415a44666aca08;;;%22	https://themangalamweddings.in/wp-content/plugins/elementor/assets/lib/animations/styles/fadeIn.min.css?ver=3.25.10	C:/My%20Web%20Sites/swi/themangalamweddings.in/wp-content/plugins/elementor/assets/lib/animations/styles/fadeIn.min18be.css	(from https://themangalamweddings.in/)
12:02:15	1364/1364	---M-Z	200	added ('OK')	text/css	etag:%22554-6752cf35-abdc532090204621;gz%22	https://themangalamweddings.in/wp-content/plugins/elementor/assets/css/widget-spacer.min.css?ver=3.25.10	C:/My%20Web%20Sites/swi/themangalamweddings.in/wp-content/plugins/elementor/assets/css/widget-spacer.min18be.css	(from https://themangalamweddings.in/)
12:02:15	1409/1409	---M-Z	200	added ('OK')	text/css	etag:%22581-6752cf35-aed496b0c0242cdf;gz%22	https://themangalamweddings.in/wp-content/plugins/elementor/assets/css/widget-image-box.min.css?ver=3.25.10	C:/My%20Web%20Sites/swi/themangalamweddings.in/wp-content/plugins/elementor/assets/css/widget-image-box.min18be.css	(from https://themangalamweddings.in/)
12:02:15	2459/2459	---M-Z	200	added ('OK')	text/css	etag:%2299b-6752cf35-55ab2a0daa8a0a86;gz%22	https://themangalamweddings.in/wp-content/plugins/elementor/assets/css/widget-image-gallery.min.css?ver=3.25.10	C:/My%20Web%20Sites/swi/themangalamweddings.in/wp-content/plugins/elementor/assets/css/widget-image-gallery.min18be.css	(from https://themangalamweddings.in/)
12:02:16	1868/1868	---M-Z	200	added ('OK')	text/css	etag:%2274c-6752cf35-7e0e92ed3d0d8ce9;gz%22	https://themangalamweddings.in/wp-content/plugins/elementor/assets/css/widget-video.min.css?ver=3.25.10	C:/My%20Web%20Sites/swi/themangalamweddings.in/wp-content/plugins/elementor/assets/css/widget-video.min18be.css	(from https://themangalamweddings.in/)
12:02:16	540/540	---M-Z	200	added ('OK')	text/css	etag:%2221c-6752cf35-f856e3cdad33124;gz%22	https://themangalamweddings.in/wp-content/plugins/elementor/assets/css/widget-image-carousel.min.css?ver=3.25.10	C:/My%20Web%20Sites/swi/themangalamweddings.in/wp-content/plugins/elementor/assets/css/widget-image-carousel.min18be.css	(from https://themangalamweddings.in/)
12:02:16	14423/14423	---M-Z	200	added ('OK')	text/css	etag:%223857-6752cf51-4f21463bead71c8e;gz%22	https://themangalamweddings.in/wp-content/plugins/pro-elements/assets/css/widget-posts.min.css?ver=3.25.4	C:/My%20Web%20Sites/swi/themangalamweddings.in/wp-content/plugins/pro-elements/assets/css/widget-posts.min401f.css	(from https://themangalamweddings.in/)
12:02:16	9929/9929	---M-Z	200	added ('OK')	text/css	etag:%2226c9-6752cf35-522b95b9ac13098e;gz%22	https://themangalamweddings.in/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css?ver=3.25.10	C:/My%20Web%20Sites/swi/themangalamweddings.in/wp-content/plugins/elementor/assets/css/widget-icon-list.min18be.css	(from https://themangalamweddings.in/)
12:02:17	232/232	---M--	200	added ('OK')	text/css	etag:%22e8-6752cf35-82877fe354cafad5;;;%22	https://themangalamweddings.in/wp-content/plugins/elementor/assets/css/widget-google_maps.min.css?ver=3.25.10	C:/My%20Web%20Sites/swi/themangalamweddings.in/wp-content/plugins/elementor/assets/css/widget-google_maps.min18be.css	(from https://themangalamweddings.in/)
12:02:17	6780/6780	---M-Z	200	added ('OK')	text/css	etag:%221a7c-6752cf51-1a6676156dba49dd;gz%22	https://themangalamweddings.in/wp-content/plugins/pro-elements/assets/css/widget-form.min.css?ver=3.25.4	C:/My%20Web%20Sites/swi/themangalamweddings.in/wp-content/plugins/pro-elements/assets/css/widget-form.min401f.css	(from https://themangalamweddings.in/)
